states		L	0	D	=	<	>	+	-	*	:	;	,	.	"	(	)	/	{	}	CR	WS	EOF	OTHER
	0	1	163	2	3	7	8	113	114	115	164	123	124	125	9	118	119	4	6	102	0	0	101	102
L	1	1	1	1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
D	2	130	2	2	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130
=	3	112	112	112	111	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112
/	4	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	5	128	128	128	128	128	128
//	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0	5	0	5
{	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0	6	6	129	6
<	7	107	107	107	109	107	110	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107
>	8	106	106	106	105	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106
"	9	9	9	9	9	9	9	9	9	9	9	9	9	9	10	9	9	9	9	9	121	9	122	9
""	10	120	120	120	120	120	120	120	120	120	120	120	120	120	9	120	120	120	120	120	120	120	120	120
